编号,题目类型,题目,题目选项,题目答案,答案说明
1,单选题,以下哪个不是生成式AI在医疗行业的应用?,"A. 病历自动生成; B. 疾病诊断辅助; C. 手术计划制定; D. 药物生产与分发(生产与分发通常涉及更多工艺和物流流程,非生成式AI直接应用)",D,药物生产与分发涉及物理流程，非生成式AI核心应用领域
2,单选题,生成式AI产业链下游主要包括哪些环节?,A. 算法模型研发; B. 数据采集与预处理; C. 产品应用与服务; D. 基础设施建设,C,产业链下游指面向终端用户的应用服务环节
3,单选题,以下哪个岗位最可能利用生成式AI进行产品设计?,A. 人力资源经理; B. 建筑设计师; C. 市场营销专员; D. 软件开发工程师(虽然软件工程师也可能使用，但B更直接关联产品设计),B,建筑设计师直接使用AI进行产品原型设计
4,单选题,生成式AI在农业领域的主要应用不包括?,"A. 智能作物育种; B. 病虫害预测; C. 农产品销售策略制定(销售策略制定通常涉及市场营销策略,非生成式AI直接应用); D. 农业资源优化配置",C,销售策略属于市场营销范畴，非生成式AI在农业的核心应用
5,单选题,以下哪个岗位最适合利用AI进行图像生成与修图?,A. 数据分析师; B. 平面设计师; C. 市场营销专员; D. 软件开发工程师,B,平面设计师的专业工作包含图像生成与优化
6,单选题,在借助AI生成与优化PPT时，哪个步骤是AI可以辅助的?,A. 确定PPT的主题和结构; B. 手动设计每一页幻灯片(AI可以辅助设计布局和风格); C. 演讲内容的准备; D. 演讲技巧的训练,B,AI可辅助幻灯片布局设计等可视化工作
7,单选题,以下哪个不是提示词书写时需要避免的常见问题?,A. 使用模糊、抽象的词汇; B. 随意组合不相关的词汇; C. 提供具体、明确的描述(这是正确的做法); D. 忽略目标受众的喜好,C,具体描述是提示词书写的正确做法（非需避免的问题）
8,单选题,"在优化提示词以生成特定主题的文章时,以下哪个做法最有效?",A. 使用通用的词汇; B. 提供具体、明确的主题描述; C. 随意选择词汇; D. 不考虑文章的目标受众,B,具体描述能明确约束生成方向
9,单选题,以下哪个场景最适合应用AI技术进行PPT生成与优化?,A. 个人日常生活的照片整理; B. 学术会议上的演讲; C. 实时翻译外语对话; D. 企业内部培训材料的制作(也适合，但B项更典型),B,学术演讲PPT对专业性和时效性要求高
10,单选题,在借助AI生成PPT时，以下哪个因素最影响生成PPT的质量?,A. 使用的AI模型; B. 用户的计算机配置; C. 用户的网络连接速度; D. PPT的主题选择,A,模型性能直接影响内容生成质量
